city,state_id,state_name,country_name,population,zips
GILBERTS,IL,ILLINOIS,KANE,8076,60118 60142 60136
WYOMING,MN,MINNESOTA,CHISAGO,8066,55079 55092 55013 55025
NORTH BAY VILLAGE,FL,FLORIDA,MIAMI-DADE,8057,33141
SOUTH CLEVELAND,TN,TENNESSEE,BRADLEY,8056,37311 37323
CLINTON,IL,ILLINOIS,DE WITT,8055,61727
SKIATOOK,OK,OKLAHOMA,OSAGE,8052,74070
DIAMONDHEAD,MS,MISSISSIPPI,HANCOCK,8048,39525
RIPLEY,TN,TENNESSEE,LAUDERDALE,8045,38063
MOREHEAD,KY,KENTUCKY,ROWAN,8044,40351
ODESSA,FL,FLORIDA,PASCO,8036,33556 33558
MENOMINEE,MI,MICHIGAN,MENOMINEE,8029,49858
PAHOKEE,FL,FLORIDA,PALM BEACH,8025,33476
CRETE,IL,ILLINOIS,WILL,8023,60417
ISLAND LAKE,IL,ILLINOIS,LAKE,8020,60042
OAK BROOK,IL,ILLINOIS,DUPAGE,8016,60523 60522
MASCOUTAH,IL,ILLINOIS,ST. CLAIR,7994,62258
ABERDEEN,NC,NORTH CAROLINA,MOORE,7988,28315
ST. MARTIN,MS,MISSISSIPPI,JACKSON,7963,39532
SOUTHWEST RANCHES,FL,FLORIDA,BROWARD,7957,33331 33330 33332
QUINCY,FL,FLORIDA,GADSDEN,7957,32351 32353
MARYVILLE,IL,ILLINOIS,MADISON,7952,62062
HILLSIDE,IL,ILLINOIS,COOK,7933,60162
ST. FRANCIS,MN,MINNESOTA,ANOKA,7916,55330 55070
LONG GROVE,IL,ILLINOIS,LAKE,7905,60047
GRAND LEDGE,MI,MICHIGAN,EATON,7896,48837
LINCOLNSHIRE,IL,ILLINOIS,LAKE,7893,60069 60045
LEXINGTON,TN,TENNESSEE,HENDERSON,7889,38351
RICHFIELD,UT,UTAH,SEVIER,7888,84701
FLUSHING,MI,MICHIGAN,GENESEE,7880,48433
MIDDLETOWN,KY,KENTUCKY,JEFFERSON,7877,40243 40299 40223
GRAND BLANC,MI,MICHIGAN,GENESEE,7870,48439 48480
PRINCETON,IL,ILLINOIS,BUREAU,7840,61356
SANGAREE,SC,SOUTH CAROLINA,BERKELEY,7840,29483
SOUTH WEBER,UT,UTAH,DAVIS,7836,84405
CROOKSTON,MN,MINNESOTA,POLK,7835,56716
DEFUNIAK SPRINGS,FL,FLORIDA,WALTON,7823,32433 32435
WILLIAMSBURG,FL,FLORIDA,ORANGE,7823,32821
SOUTHGATE,FL,FLORIDA,SARASOTA,7817,34239
HOLLY SPRINGS,MS,MISSISSIPPI,MARSHALL,7798,38635 38634
PROVIDENCE,UT,UTAH,CACHE,7780,84332
MILAN,MI,MICHIGAN,WASHTENAW,7778,48160
WAITE PARK,MN,MINNESOTA,STEARNS,7768,56387 56301 56388 56399
MCGREGOR,FL,FLORIDA,LEE,7760,33919
CHERAW,SC,SOUTH CAROLINA,CHESTERFIELD,7757,29520
WYNNE,AR,ARKANSAS,CROSS,7749,72396
ROUND LAKE PARK,IL,ILLINOIS,LAKE,7747,60073 60030
CITRUS HILLS,FL,FLORIDA,CITRUS,7739,34461 34453 34442
SALEM,IL,ILLINOIS,MARION,7730,62881
GROVE,OK,OKLAHOMA,DELAWARE,7726,74344 74345
WELCOME,SC,SOUTH CAROLINA,GREENVILLE,7719,29611
KASSON,MN,MINNESOTA,DODGE,7715,55944
HASTINGS,MI,MICHIGAN,BARRY,7670,49058
PLAIN CITY,UT,UTAH,WEBER,7669,84404
INDIANTOWN,FL,FLORIDA,MARTIN,7669,34956
BRIGHTON,MI,MICHIGAN,LIVINGSTON,7656,48116
ETOWAH,NC,NORTH CAROLINA,HENDERSON,7653,28729 28739
SOUTH BELOIT,IL,ILLINOIS,WINNEBAGO,7624,61080
BROADVIEW,IL,ILLINOIS,COOK,7618,60155
CUSHING,OK,OKLAHOMA,PAYNE,7615,74023
MILAN,TN,TENNESSEE,GIBSON,7612,38358
SENATOBIA,MS,MISSISSIPPI,TATE,7610,38668
CALUMET PARK,IL,ILLINOIS,COOK,7602,60827
PULASKI,TN,TENNESSEE,GILES,7597,38478
TUTTLE,OK,OKLAHOMA,GRADY,7593,73089
INWOOD,FL,FLORIDA,POLK,7575,33881 33880
MARSHALL,MI,MICHIGAN,CALHOUN,7548,49068
ALBERTVILLE,MN,MINNESOTA,WRIGHT,7539,55301
PORTERS NECK,NC,NORTH CAROLINA,NEW HANOVER,7538,28411
PIKEVILLE,KY,KENTUCKY,PIKE,7531,41501 41502
BENTON,IL,ILLINOIS,FRANKLIN,7518,62812
MARENGO,IL,ILLINOIS,MCHENRY,7517,60152
ROBINSON,IL,ILLINOIS,CRAWFORD,7513,62454
PURCELL,OK,OKLAHOMA,MCCLAIN,7502,73095 73080
LOWELL,MI,MICHIGAN,KENT,7501,49331
SILVIS,IL,ILLINOIS,ROCK ISLAND,7475,61244 61239 61282
NEWPORT,AR,ARKANSAS,JACKSON,7474,72112 72075
VILLA HILLS,KY,KENTUCKY,KENTON,7461,41017
KEYSTONE HEIGHTS,FL,FLORIDA,CLAY,7449,32656
ROCKTON,IL,ILLINOIS,WINNEBAGO,7441,61072
PARK CITY,IL,ILLINOIS,LAKE,7438,60085
RIVER ROUGE,MI,MICHIGAN,WAYNE,7419,48218 48222
SANDWICH,IL,ILLINOIS,DEKALB,7418,60548
INVERNESS,FL,FLORIDA,CITRUS,7414,34450 34453 34452 34451
MILLS RIVER,NC,NORTH CAROLINA,HENDERSON,7406,28759 28710
SANIBEL,FL,FLORIDA,LEE,7401,33957
FARMINGTON,AR,ARKANSAS,WASHINGTON,7400,72730
FARR WEST,UT,UTAH,WEBER,7385,84404
SOUTH APOPKA,FL,FLORIDA,ORANGE,7381,32703 32793
PEMBROKE,NC,NORTH CAROLINA,ROBESON,7381,28372
INVERNESS,IL,ILLINOIS,COOK,7376,60010 60067 60006
MONTPELIER,VT,VERMONT,WASHINGTON,7372,05602 05603 05604 05620 05633
ST. JOSEPH,MN,MINNESOTA,STEARNS,7351,56374 56301
HUDSONVILLE,MI,MICHIGAN,OTTAWA,7348,49426
PHILADELPHIA,MS,MISSISSIPPI,NESHOBA,7345,39350
GIBSONVILLE,NC,NORTH CAROLINA,GUILFORD,7339,27377 27249
DADE CITY,FL,FLORIDA,PASCO,7338,33525 33523
WINOOSKI,VT,VERMONT,CHITTENDEN,7333,5404
SKY LAKE,FL,FLORIDA,ORANGE,7331,32809 32859
OAK GROVE,KY,KENTUCKY,CHRISTIAN,7320,42262
WHITEVILLE,NC,NORTH CAROLINA,COLUMBUS,7315,28472
EPHRAIM,UT,UTAH,SANPETE,7308,84627
LONGBOAT KEY,FL,FLORIDA,MANATEE,7296,34228
HARDEEVILLE,SC,SOUTH CAROLINA,JASPER,7290,29927 29936
MOAB,UT,UTAH,GRAND,7278,84532
WILDWOOD,FL,FLORIDA,SUMTER,7276,33514 34484 34785
ORMOND-BY-THE-SEA,FL,FLORIDA,VOLUSIA,7268,32176
ST. LOUIS,MI,MICHIGAN,GRATIOT,7265,48880
NEPTUNE BEACH,FL,FLORIDA,DUVAL,7259,32266
RICHLAND,MS,MISSISSIPPI,RANKIN,7241,39073 39218
BELLE ISLE,FL,FLORIDA,ORANGE,7240,32809 32812
FRANKLIN,NC,NORTH CAROLINA,MACON,7238,28734 28744
COLLINSVILLE,OK,OKLAHOMA,TULSA,7236,74021
WILLOW OAK,FL,FLORIDA,POLK,7236,33860 33811
ROOSEVELT,UT,UTAH,DUCHESNE,7233,84066
BATESVILLE,MS,MISSISSIPPI,PANOLA,7218,38606
LAKE LORRAINE,FL,FLORIDA,OKALOOSA,7217,32579
CORBIN,KY,KENTUCKY,WHITLEY,7202,40701 40702
UNIONVILLE,NC,NORTH CAROLINA,UNION,7195,28110
BELLE PLAINE,MN,MINNESOTA,SCOTT,7185,56011
ENOCH,UT,UTAH,IRON,7180,84721
CENTERVILLE,SC,SOUTH CAROLINA,ANDERSON,7173,29625 29623
HILLSBOROUGH,NC,NORTH CAROLINA,ORANGE,7161,27278
LAWRENCEVILLE,IL,ILLINOIS,LAWRENCE,7150,62439
NIBLEY,UT,UTAH,CACHE,7135,84321
WALLED LAKE,MI,MICHIGAN,OAKLAND,7134,48390
LIVE OAK,FL,FLORIDA,SUWANNEE,7118,32064
RUSSELLVILLE,KY,KENTUCKY,LOGAN,7109,42276
SELMA,NC,NORTH CAROLINA,JOHNSTON,7101,27576 27577
FORT MYERS BEACH,FL,FLORIDA,LEE,7094,33931 33932
BYRON CENTER,MI,MICHIGAN,KENT,7089,49315
OSCEOLA,AR,ARKANSAS,MISSISSIPPI,7085,72370
FLATWOODS,KY,KENTUCKY,GREENUP,7079,41139
FAIR PLAIN,MI,MICHIGAN,BERRIEN,7076,49022
RIVER PARK,FL,FLORIDA,ST. LUCIE,7071,34983 34952
HIGHLAND HEIGHTS,KY,KENTUCKY,CAMPBELL,7065,41076 41099
BERRIEN SPRINGS,MI,MICHIGAN,BERRIEN,7060,49103
NOBLE,OK,OKLAHOMA,CLEVELAND,7053,73068
GULF PARK ESTATES,MS,MISSISSIPPI,JACKSON,7053,39564
OAK RIDGE,NC,NORTH CAROLINA,GUILFORD,7049,27284 27310
SEMINOLE,OK,OKLAHOMA,SEMINOLE,7041,74868 74884 74818
LAURIUM,MI,MICHIGAN,HOUGHTON,7032,49913
ORLAND HILLS,IL,ILLINOIS,COOK,7023,60487
MOUNT CARMEL,IL,ILLINOIS,WABASH,7016,62863
ST. AUGUSTINE BEACH,FL,FLORIDA,ST. JOHNS,7004,32080
MENDOTA,IL,ILLINOIS,LASALLE,6994,61342
HEATHROW,FL,FLORIDA,SEMINOLE,6987,32746
HILLSBORO,IL,ILLINOIS,MONTGOMERY,6984,62049
BEACON SQUARE,FL,FLORIDA,PASCO,6976,34691 34652
TRUMANN,AR,ARKANSAS,POINSETT,6969,72472
LEITCHFIELD,KY,KENTUCKY,GRAYSON,6962,42754 42755
CATOOSA,OK,OKLAHOMA,ROGERS,6953,74015 74116
PAINTSVILLE,KY,KENTUCKY,JOHNSON,6952,41240
VANDALIA,IL,ILLINOIS,FAYETTE,6936,62471
FORT MEADE,FL,FLORIDA,POLK,6932,33847 33841
OSPREY,FL,FLORIDA,SARASOTA,6931,34229
FORT PIERCE NORTH,FL,FLORIDA,ST. LUCIE,6926,34947 34946
WEST SAMOSET,FL,FLORIDA,MANATEE,6921,34208 34203
TREASURE ISLAND,FL,FLORIDA,PINELLAS,6921,33706 33740
SPRING LAKE PARK,MN,MINNESOTA,ANOKA,6919,55432
HEBER SPRINGS,AR,ARKANSAS,CLEBURNE,6916,72543 72545
GULF BREEZE,FL,FLORIDA,SANTA ROSA,6900,32561 32562
FREELAND,MI,MICHIGAN,SAGINAW,6898,48623
BYRON,IL,ILLINOIS,OGLE,6896,61010
LATIMER,MS,MISSISSIPPI,JACKSON,6895,39532 39565
UNIVERSITY PARK,IL,ILLINOIS,COOK,6887,60484 60449
PERRY,FL,FLORIDA,TAYLOR,6879,32347 32348
HARRISVILLE,UT,UTAH,WEBER,6872,84404 84414
KING,NC,NORTH CAROLINA,STOKES,6861,27021
GREENBRIER,TN,TENNESSEE,ROBERTSON,6852,37073
LECANTO,FL,FLORIDA,CITRUS,6847,34461
IDABEL,OK,OKLAHOMA,MCCURTAIN,6843,74745
SOUTH PATRICK SHORES,FL,FLORIDA,BREVARD,6842,32937
CROSSETT,AR,ARKANSAS,ASHLEY,6820,71635
FORT MYERS SHORES,FL,FLORIDA,LEE,6813,33905
MARION,SC,SOUTH CAROLINA,MARION,6804,29571
TAYLOR MILL,KY,KENTUCKY,KENTON,6802,41015
AMORY,MS,MISSISSIPPI,MONROE,6794,38821 38825
MARVIN,NC,NORTH CAROLINA,UNION,6792,28173
MILLERSVILLE,TN,TENNESSEE,SUMNER,6769,37072
INDIAN RIVER ESTATES,FL,FLORIDA,ST. LUCIE,6754,34982
PEMBROKE PARK,FL,FLORIDA,BROWARD,6749,33023 33009
PRAIRIE GROVE,AR,ARKANSAS,WASHINGTON,6740,72753 72730
LITCHFIELD,IL,ILLINOIS,MONTGOMERY,6731,62056 62015
KOSCIUSKO,MS,MISSISSIPPI,ATTALA,6720,39090
WOODFIN,NC,NORTH CAROLINA,BUNCOMBE,6717,28804
MEDINA,MN,MINNESOTA,HENNEPIN,6712,55340 55356 55359
DAYTON,MN,MINNESOTA,HENNEPIN,6686,55369 55327
CHERRYVILLE,NC,NORTH CAROLINA,GASTON,6682,28021
LAUDERDALE-BY-THE-SEA,FL,FLORIDA,BROWARD,6664,33308 33062 33303
CHURCH HILL,TN,TENNESSEE,HAWKINS,6664,37642
VALLEY FALLS,SC,SOUTH CAROLINA,SPARTANBURG,6656,29303 29316
LITCHFIELD,MN,MINNESOTA,MEEKER,6650,55355
POCAHONTAS,AR,ARKANSAS,RANDOLPH,6645,72455
MORRILTON,AR,ARKANSAS,CONWAY,6645,72110
TECUMSEH,OK,OKLAHOMA,POTTAWATOMIE,6636,74801 74873
BEAVER DAM,KY,KENTUCKY,OHIO,6621,42320
WINTHROP HARBOR,IL,ILLINOIS,LAKE,6618,60096
WHITMORE LAKE,MI,MICHIGAN,WASHTENAW,6618,48189
TRINITY,NC,NORTH CAROLINA,RANDOLPH,6606,27370 27263 27360
COCOA WEST,FL,FLORIDA,BREVARD,6595,32922 32926
FORESTBROOK,SC,SOUTH CAROLINA,HORRY,6591,29588 29579
COLD SPRING,KY,KENTUCKY,CAMPBELL,6571,41076
WALNUT RIDGE,AR,ARKANSAS,LAWRENCE,6568,72476
THOMPSON'S STATION,TN,TENNESSEE,WILLIAMSON,6567,37064 37179
STICKNEY,IL,ILLINOIS,COOK,6566,60402 60804
GREEN HILL,TN,TENNESSEE,WILSON,6563,37138
BLACKWELL,OK,OKLAHOMA,KAY,6562,74631
ELKIN,NC,NORTH CAROLINA,SURRY,6536,28621
DE QUEEN,AR,ARKANSAS,SEVIER,6534,71832
